drewex - 29.06.2015 1:10    [u mnie /10]
herkules - 22.06.2012 5:1 ()scalenie)   [u mnie /5]
cig - 31.01.2017  1:10    [u mnie /0.1  ]
13.01.2017	RESBUD	1/5   [u mnie 0.0833]


29.07.2016	RESBUD	4
25.09.2014	RESBUD	4





http://bossa.pl/analizy/splity/
Splity
data	WALOR	1:
02.10.2017	MOL 8
14.09.2017	IFSA    1/2
07.09.2017	ELKOP   1/5
31.07.2017	EVEREST 1/6
28.07.2017	LETUS   1/10
03.07.2017	PCGUARD	1/19
13.06.2017	MINOX	1/12
10.05.2017	BMPAG	1/3
23.02.2017	CIGAMES	10
15.02.2017	ELKOP	5
26.01.2017	UNICREDIT	1/10
20.01.2017	INNOCOMM	50
13.01.2017	RESBUD	1/5
23.12.2016	OTLOG	8
15.12.2016	PARCELTEC	1/20
07.12.2016	MFOOD	1/10
08.11.2016	KCI	1/28
04.11.2016	SILESIA	1/50
26.10.2016	PETROLINV	1/16
04.10.2016	GETINOBLE	1/3
26.08.2016	CFI	40
10.08.2016	POLINW	10
29.07.2016	RESBUD	4
26.07.2016	GLGPHARMA	1/20
05.07.2016	INDYGO	1/10
04.07.2016	PLAZACNTR	1/100
01.07.2016	DORADCY24	1/100
24.06.2016	BPC	20
29.04.2016	IFCAPITAL	2
28.04.2016	GRAVITON	1/10
19.04.2016	M4B	1/80
25.02.2016	LARK	1/10
08.02.2016	LIBERTY	1/100
08.12.2015	ABMSOLID	1/10
30.11.2015	PZU	10
25.11.2015	01CYBATON	20
18.11.2015	IPOSA	1/20
12.11.2015	SUNEX	1/40
28.10.2015	IBSM	1/40
14.10.2015	POLIMEXMS	1/50
25.09.2015	POLYMETAL	1/24
21.09.2015	BEST	4
01.09.2015	REGNON	1/100
19.08.2015	EKOBOX	5
10.08.2015	INVENTI	1/100
10.08.2015	WEEDO	1/20
05.08.2015	EASTSIDE	1/243
20.07.2015	DFP	1/100
29.06.2015	DREWEX	1/10
17.06.2015	EUROSNACK	1/10
29.05.2015	SWISSMED	1/10
12.05.2015	MEDIATEL	1/5
04.05.2015	BPC	1/20
08.04.2015	IDMSA	1/16
26.03.2015	SANWIL	1/6
23.03.2015	NOVATIS	1/388
20.03.2015	MSIBIOSCE	1/20
13.03.2015	UNITED	1/20
25.02.2015	AURUM	1/10
29.12.2014	JRINVEST	10
22.12.2014	WIKANA	1/10
22.12.2014	SCOPAK	1/8
18.12.2014	JHMDEV	1/5
17.12.2014	REDWOOD	1/10
15.12.2014	TRAKCJA	1/8
15.12.2014	IFSA	1/4
11.12.2014	B3SYSTEM	1/10
11.12.2014	GEOINVENT	1/50
09.12.2014	FASTFIN	1/4
03.12.2014	TRITON	1/4
02.12.2014	LASERMED	1/10
01.12.2014	POINTGROUP	1/10
25.11.2014	CUBEITG	1/10
24.11.2014	MAXIMUS	1/10
19.11.2014	DROZAPOL	1/5
14.11.2014	AWBUD	1/10
10.11.2014	SKYSTONE	1/100
27.10.2014	INTAKUS	1/2000
27.10.2014	NTTSYSTEM	1/4
20.10.2014	BALTICON	1/100
17.10.2014	STARHEDGE	1/6
14.10.2014	MAKORA	1/10
01.10.2014	INC	1/4
25.09.2014	RESBUD	4
25.09.2014	NORTCOAST	1/10
25.09.2014	IZOLACJA	1/3
25.09.2014	ECARD	1/8
17.09.2014	DRAGOWSKI	1/10
12.09.2014	DGA	1/8
11.09.2014	MADKOM	1/10
30.07.2014	ERG	1/50
16.07.2014	IFSA	5
08.07.2014	DEVORAN	1/100
04.07.2014	DUDA	1/10
03.07.2014	WBAY	1/100
24.06.2014	MSXRESOUR	1/25
18.06.2014	PFMEDICAL	1/100
10.06.2014	CHEMOS	1/8
05.06.2014	ZREMB	1/5
04.06.2014	MIRACULUM	1/50
02.06.2014	IMMOFUND	1/10
23.05.2014	PROCHNIK	1/9
15.05.2014	ABSINVEST	1/10
12.05.2014	IMPERA	1/6
08.05.2014	IDMSA	1/12
29.04.2014	GOLDWYN	1/30
22.04.2014	RUBICON	1/10
17.04.2014	PPG	1/50
16.04.2014	MBFACTORY	1/25
14.04.2014	06MAGNA	1/10
11.04.2014	EMMWH	1/100
11.04.2014	INVISTA	1/6
09.04.2014	EQUITIER	1/10
02.04.2014	BORYSZEW	1/10
31.03.2014	FUTURIS	1/100
27.03.2014	BBIDEV	1/5
27.03.2014	FON	1/16
27.03.2014	RUNICOM	1/10
19.03.2014	IFCAPITAL	1/6
19.03.2014	DMWDM	1/8
18.03.2014	ELKOP	1/7
17.03.2014	WINVEST	1/80
14.03.2014	KME	1/5
14.03.2014	KBDOM	1/100
12.03.2014	CALATRAVA	1/100
06.03.2014	ATLANTIS	1/10
28.02.2014	KCI	10
28.02.2014	PBSFINANSE	1/10
13.02.2014	POLCOLORIT	1/10
13.01.2014	BIOTON	1/100
03.01.2014	AGROLIGA	5
29.11.2013	RUBICON	1/6
06.09.2013	MDEVELOP	1/10
14.08.2013	ASTORIA	1/100
04.07.2013	KOV	1/10
24.06.2013	NCINDEX	1/10
13.05.2013	WIERZYCL	1/10
18.03.2013	01CYBATON	1/160
25.02.2013	INTAKUS	25
18.02.2013	EFH	10
29.01.2013	NAVIMORIN	2
13.12.2012	PAKADEMIA	1/100
26.11.2012	LUG	1/25
21.11.2012	ALEJA	1/10
29.10.2012	ELKOPNRG	500
25.09.2012	KUPIEC	1/10
19.09.2012	HERKULES	1/5
18.09.2012	AITON	10
